ID,Class,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32
146,0.0,V2,V5,5.0,3,43,V7,V2,V2,yes,1202,1202,,1,V2,V3,3350,V1,0.0,V1,2,T,F,V3,,1.0,V3,5,31991,V1,1.0,V2,V2
147,1.0,V3,V4,23.0,4,37,V7,V2,V1,yes,946,946,,1,V2,V3,4496,V3,0.0,V3,3,T,F,V1,,1.0,V3,23,34464,V1,2.0,V3,V1
148,1.0,V3,V5,11.0,4,53,V2,V2,V1,yes,7865,7865,,1,V2,V3,4664,V1,0.0,V1,4,T,F,V3,,1.0,V4,11,25296,V1,1.0,V3,V2
149,0.0,V1,V3,6.0,3,24,V3,V3,V1,yes,932,932,,1,V3,V2,5208,V4,0.0,V4,2,T,F,V3,,1.0,V3,6,18919,V1,1.0,V2,V1
150,1.0,V2,V3,11.0,4,36,V2,V2,V1,yes,1922,1922,,1,V2,V3,6969,V2,0.0,V2,2,T,F,V3,,1.0,V2,11,17158,V1,1.0,V2,V1
151,0.0,V4,V4,29.0,4,24,V3,V4,V1,yes,5771,5771,,2,V4,V2,4308,V4,0.0,V4,2,T,F,V3,,1.0,V3,29,14310,V1,1.0,V2,V1
152,0.0,V4,V4,47.0,1,23,V7,V2,V5,yes,8486,8486,,1,V2,V2,4509,V2,0.0,V2,2,T,F,V3,,1.0,V3,47,26207,V1,1.0,V2,V1
153,0.0,V2,V3,18.0,4,28,V3,V4,V5,yes,1169,1169,,2,V4,V3,4509,V4,0.0,V4,3,T,F,V3,,1.0,V3,18,23893,V1,1.0,V2,V2
154,0.0,V1,V3,6.0,2,34,V3,V2,V1,yes,2576,2576,,1,V2,V3,5854,V2,0.0,V2,2,T,F,V3,,1.0,V3,6,48119,V3,1.0,V2,V1
155,0.0,V1,V3,11.0,4,42,V7,V3,V1,yes,1344,1344,,2,V3,V3,4121,V1,0.0,V1,2,T,F,V3,,1.0,V2,11,56205,V1,2.0,V2,V1
156,1.0,V4,V3,17.0,4,33,V3,V4,V1,yes,1245,1245,,1,V4,V4,4405,V2,0.0,V2,2,T,F,V3,,1.0,V3,17,43176,V1,1.0,V2,V1
157,0.0,V4,V1,18.0,2,67,V5,V2,V1,yes,3872,3872,,1,V2,V2,5339,V2,0.0,V2,4,T,F,V3,,1.0,V3,18,57557,V1,1.0,V2,V2
158,0.0,V4,V4,9.0,2,23,V2,V2,V5,yes,2030,2030,,1,V2,V3,3683,V2,0.0,V2,1,T,F,V3,,1.0,V3,9,2827,V1,1.0,V2,V2
159,1.0,V3,V2,29.0,1,33,V5,V2,V1,yes,11998,11998,,1,V2,V1,6566,V1,0.0,V1,1,T,F,V3,,1.0,V2,29,16177,V1,1.0,V2,V2
160,1.0,V4,V2,17.0,1,22,V7,V2,V1,yes,976,976,,1,V2,V2,4787,V1,0.0,V1,2,T,F,V3,,1.0,V2,17,24670,V1,1.0,V2,V1
161,0.0,V2,V2,12.0,2,37,V6,V4,V5,yes,3564,3564,,2,V4,V3,3116,V4,0.0,V4,1,T,F,V3,,1.0,V2,12,21282,V1,2.0,V2,V1
162,0.0,V4,V4,48.0,4,37,V3,V2,V5,yes,10222,10222,,1,V2,V3,5411,V4,0.0,V4,3,T,F,V2,,1.0,V3,48,128598,V1,1.0,V2,V2
163,0.0,V4,V4,15.0,2,20,V7,V2,V4,yes,3186,3186,,1,V2,V2,6463,V4,0.0,V4,3,T,F,V3,,1.0,V3,15,42428,V1,1.0,V1,V1
164,0.0,V1,V4,4.0,2,42,V3,V4,V1,yes,1502,1502,,2,V4,V3,5257,V4,0.0,V4,1,T,F,V3,,1.0,V2,4,11953,V1,2.0,V2,V1
165,0.0,V3,V5,7.0,3,51,V10,V4,V1,yes,1164,1164,,2,V4,V3,6038,V1,0.0,V1,4,T,F,V1,,1.0,V4,7,4890,V1,2.0,V3,V2
166,0.0,V1,V2,12.0,4,23,V3,V4,V1,yes,881,881,,2,V4,V3,5372,V2,0.0,V2,4,T,F,V3,,1.0,V3,12,27270,V3,1.0,V2,V1
167,0.0,V1,V3,8.0,1,32,V3,V4,V5,yes,3073,3073,,2,V4,V3,7059,V4,0.0,V4,2,T,F,V3,,1.0,V3,8,42420,V1,2.0,V2,V1
168,0.0,V2,V4,30.0,2,35,V3,V4,V5,yes,6742,6742,,2,V4,V3,5433,V4,0.0,V4,3,T,F,V3,,1.0,V3,30,45523,V1,1.0,V2,V1
169,0.0,V4,V4,36.0,4,23,V3,V2,V1,yes,2323,2323,,1,V2,V3,4690,V2,0.0,V2,4,T,F,V3,,1.0,V3,36,37541,V1,1.0,V1,V1
170,0.0,V4,V3,23.0,3,57,V3,V2,V3,yes,1257,1257,,1,V2,V2,5354,V3,0.0,V3,3,T,F,V3,,1.0,V2,23,29077,V1,1.0,V2,V1
171,0.0,V1,V3,18.0,4,45,V3,V4,V4,yes,1148,1148,,2,V4,V3,5226,V4,0.0,V4,3,T,F,V3,,1.0,V3,18,26618,V1,1.0,V2,V1
172,0.0,V4,V2,18.0,4,26,V3,V2,V1,yes,2388,2388,,1,V2,V2,4805,V1,0.0,V1,1,T,F,V2,,1.0,V3,18,31909,V1,1.0,V2,V1
173,0.0,V4,V3,12.0,4,20,V3,V2,V5,yes,886,886,,1,V2,V2,5738,V4,0.0,V4,2,T,F,V3,,1.0,V3,12,54619,V1,1.0,V2,V1
174,0.0,V4,V5,12.0,4,44,V8,V1,V1,yes,339,339,,1,V1,V4,4644,V1,0.0,V1,1,T,F,V1,,1.0,V2,12,38676,V1,1.0,V2,V1
175,0.0,V2,V1,6.0,1,23,V1,V2,V3,yes,1352,1352,,1,V2,V2,4246,V1,0.0,V1,2,T,F,V3,,1.0,V1,6,10677,V1,1.0,V1,V2
176,0.0,V3,V3,36.0,2,34,V6,V2,V5,yes,9054,9054,,1,V2,V3,6505,V4,0.0,V4,4,T,F,V3,,1.0,V2,36,4103,V1,2.0,V3,V2
177,1.0,V2,V4,11.0,4,20,V3,V2,V2,yes,674,674,,1,V2,V4,4427,V1,0.0,V1,1,T,F,V3,,1.0,V3,11,83407,V1,1.0,V2,V1
178,1.0,V3,V5,11.0,3,34,V1,V2,V1,yes,3385,3385,,1,V2,V3,3250,V1,0.0,V1,4,T,F,V3,,1.0,V3,11,41981,V1,1.0,V3,V2
179,0.0,V4,V2,17.0,3,35,V2,V4,V1,yes,3780,3780,,2,V4,V1,5068,V4,0.0,V4,2,T,F,V3,,1.0,V4,17,39142,V1,1.0,V2,V2
180,1.0,V4,V2,36.0,4,27,V9,V3,V5,yes,7979,7979,,2,V3,V3,5776,V4,0.0,V4,4,T,F,V3,,1.0,V3,36,126349,V1,1.0,V1,V2
181,1.0,V3,V2,8.0,3,26,V7,V2,V1,yes,1422,1422,,1,V2,V3,5016,V1,0.0,V1,2,T,F,V3,,1.0,V4,8,47495,V1,1.0,V3,V2
182,0.0,V4,V3,35.0,2,30,V3,V4,V1,yes,9565,9565,,2,V4,V2,4817,V4,0.0,V4,2,T,F,V2,,1.0,V3,35,64580,V1,1.0,V2,V1
183,0.0,V1,V3,5.0,2,64,V3,V2,V1,yes,752,752,,1,V2,V2,5363,V2,0.0,V2,3,T,F,V3,,1.0,V3,5,39159,V3,1.0,V2,V1
184,1.0,V2,V5,16.0,2,42,V7,V4,V1,yes,2624,2624,,1,V4,V3,4854,V1,0.0,V1,4,T,F,V1,,1.0,V3,16,26850,V3,1.0,V1,V2
185,0.0,V1,V4,24.0,4,26,V9,V4,V2,yes,1381,1381,,2,V4,V3,6433,V1,0.0,V1,1,T,F,V3,,1.0,V3,24,21754,V1,1.0,V2,V2
186,0.0,V4,V2,17.0,3,32,V3,V2,V1,yes,4594,4594,,1,V2,V3,6378,V4,0.0,V4,2,T,F,V3,,1.0,V3,17,62300,V1,1.0,V2,V2
187,0.0,V1,V2,6.0,3,41,V7,V2,V1,yes,661,661,,1,V2,V3,5999,V1,0.0,V1,4,T,F,V3,,1.0,V2,6,44747,V1,2.0,V2,V2
188,0.0,V1,V5,29.0,4,36,V7,V4,V5,yes,2180,2180,,2,V4,V3,5350,V2,0.0,V2,4,T,F,V3,,1.0,V3,29,51195,V1,1.0,V2,V1
189,1.0,V4,V3,24.0,2,29,V10,V2,V1,yes,11327,11327,,2,V2,V3,5169,V2,0.0,V2,3,T,F,V1,,1.0,V4,24,40516,V2,1.0,V2,V2
190,0.0,V2,V5,29.0,4,57,V2,V2,V4,yes,3621,3621,,2,V2,V2,3771,V1,0.0,V1,4,T,F,V3,,1.0,V3,29,119741,V1,1.0,V1,V2
191,1.0,V4,V3,8.0,4,27,V7,V2,V1,yes,653,653,,1,V2,V3,5580,V1,0.0,V1,3,T,F,V3,,1.0,V2,8,22093,V1,1.0,V2,V1
192,1.0,V3,V1,18.0,2,54,V5,V4,V1,yes,1190,1190,,3,V4,V2,3784,V1,0.0,V1,4,T,F,V3,,1.0,V1,18,63256,V1,2.0,V3,V1
193,0.0,V1,V5,24.0,4,41,V7,V2,V2,yes,1469,1469,,1,V2,V4,5210,V4,0.0,V4,4,T,F,V3,V1,1.0,V2,24,62026,V1,1.0,V1,V1
194,1.0,V3,V2,36.0,4,33,V5,V2,V1,yes,2383,2383,,1,V2,V3,5763,V2,0.0,V2,1,T,F,V3,,1.0,V2,36,20212,V1,1.0,V1,V1
195,0.0,V4,V4,17.0,3,27,V1,V4,V1,yes,3849,3849,,2,V4,V3,6753,V4,0.0,V4,1,T,F,V3,,1.0,V3,17,86398,V1,1.0,V2,V1
196,0.0,V1,V4,11.0,3,30,V2,V2,V1,yes,1735,1735,,1,V2,V2,3266,V4,0.0,V4,4,T,F,V3,,1.0,V2,11,44655,V1,1.0,V2,V1
197,0.0,V1,V3,11.0,4,49,V7,V2,V1,yes,639,639,,1,V2,V1,4945,V4,0.0,V4,2,T,F,V3,,1.0,V2,11,17928,V1,1.0,V2,V1
198,0.0,V2,V5,35.0,4,35,V7,V2,V3,yes,908,908,,1,V2,V3,5219,V4,0.0,V4,4,T,F,V3,,1.0,V3,35,19684,V1,1.0,V2,V1
199,0.0,V1,V4,59.0,2,20,V3,V2,V2,yes,10143,10143,,1,V2,V2,5230,V4,0.0,V4,4,T,F,V3,,1.0,V3,59,27765,V1,1.0,V2,V2
200,0.0,V1,V5,10.0,1,28,V9,V2,V4,yes,2141,2141,,1,V2,V1,2768,V4,0.0,V4,2,T,F,V3,,1.0,V3,10,20426,V1,1.0,V2,V2
201,0.0,V4,V5,29.0,3,40,V3,V4,V5,yes,3077,3077,,2,V4,V3,3627,V4,0.0,V4,2,T,F,V3,,1.0,V3,29,20597,V1,2.0,V2,V2
202,1.0,V3,V5,12.0,4,54,V5,V3,V4,yes,1554,1554,,2,V3,V3,3467,V4,0.0,V4,4,T,F,V3,,1.0,V3,12,40287,V1,2.0,V3,V1
203,1.0,V1,V3,5.0,1,44,V2,V4,V1,yes,3383,3383,,1,V4,V1,3835,V1,0.0,V1,4,T,F,V3,,1.0,V4,5,16195,V1,1.0,V1,V2
204,1.0,V1,V4,17.0,4,21,V2,V3,V1,yes,1807,1807,,1,V3,V2,5615,V4,0.0,V4,1,T,F,V3,,1.0,V3,17,57469,V1,1.0,V2,V1
205,0.0,V1,V4,11.0,2,27,V3,V2,V1,yes,2930,2930,,1,V2,V2,6592,V2,0.0,V2,1,T,F,V3,,1.0,V3,11,118765,V1,1.0,V2,V1
206,0.0,V4,V4,47.0,4,41,V3,V2,V5,yes,3979,3979,,2,V2,V3,3143,V2,0.0,V2,1,T,F,V3,,1.0,V3,47,149947,V1,2.0,V2,V2
207,1.0,V1,V3,11.0,4,24,V3,V1,V1,yes,625,625,,1,V1,V2,6312,V1,0.0,V1,4,T,F,V1,,1.0,V2,11,14779,V1,1.0,V2,V1
208,0.0,V2,V4,15.0,2,26,V9,V2,V1,yes,2686,2686,,1,V2,V3,5621,V3,0.0,V3,4,T,F,V3,,1.0,V3,15,55363,V1,1.0,V1,V2
209,0.0,V2,V3,23.0,3,27,V9,V4,V2,yes,4138,4138,,2,V4,V3,6388,V4,0.0,V4,3,T,F,V3,,1.0,V2,23,26363,V1,1.0,V2,V2
210,0.0,V4,V3,21.0,1,27,V7,V2,V2,yes,2922,2922,,1,V2,V2,4485,V3,0.0,V3,1,T,F,V1,,1.0,V4,21,49451,V1,1.0,V2,V2
211,1.0,V4,V4,41.0,4,29,V3,V2,V5,yes,7173,7173,,1,V2,V2,5419,V1,0.0,V1,3,T,F,V3,,1.0,V4,41,50728,V1,1.0,V2,V2
212,0.0,V2,V2,42.0,2,33,V9,V5,V1,yes,6289,6289,,2,V5,V1,4631,V3,0.0,V3,1,T,F,V3,,1.0,V3,42,121454,V1,1.0,V2,V1
213,0.0,V1,V4,20.0,4,33,V2,V3,V2,yes,1590,1590,,2,V3,V3,5579,V4,0.0,V4,3,T,F,V3,,1.0,V4,20,59854,V1,1.0,V2,V1
214,0.0,V3,V1,24.0,2,74,V1,V4,V1,yes,6614,6614,,2,V4,V3,4444,V1,0.0,V1,4,T,F,V3,,1.0,V4,24,51487,V1,1.0,V3,V2
215,0.0,V1,V4,5.0,3,27,V3,V2,V1,yes,483,483,,1,V2,V4,5353,V2,0.0,V2,3,T,F,V1,,1.0,V2,5,37748,V3,1.0,V2,V1
216,1.0,V1,V4,24.0,4,37,V7,V4,V5,yes,1344,1344,,2,V4,V3,6054,V3,0.0,V3,2,T,F,V1,,1.0,V2,24,63907,V1,2.0,V2,V1
217,0.0,V2,V3,36.0,3,27,V2,V4,V1,yes,5370,5370,,2,V4,V3,6067,V1,0.0,V1,2,T,F,V3,,1.0,V3,36,29400,V3,1.0,V2,V1
218,1.0,V2,V3,18.0,4,32,V7,V2,V5,yes,1042,1042,,1,V2,V2,5067,V2,0.0,V2,2,T,F,V3,,1.0,V3,18,38704,V1,1.0,V2,V1
219,0.0,V2,V3,35.0,1,37,V2,V2,V1,yes,3619,3619,,1,V2,V3,4101,V1,0.0,V1,2,T,F,V3,,1.0,V3,35,2728,V3,2.0,V2,V1
220,0.0,V1,V3,11.0,4,35,V8,V1,V3,yes,3446,3446,,1,V1,V2,5457,V4,0.0,V4,3,T,F,V3,,1.0,V2,11,18494,V1,2.0,V2,V1
221,0.0,V4,V4,23.0,3,23,V1,V2,V2,yes,3488,3488,,1,V2,V2,4386,V4,0.0,V4,4,T,F,V3,,1.0,V3,23,77053,V1,1.0,V2,V1
222,0.0,V1,V4,4.0,2,41,V3,V4,V1,yes,1543,1543,,3,V4,V3,4590,V4,0.0,V4,1,T,F,V3,,1.0,V2,4,31917,V1,2.0,V2,V1
223,0.0,V4,V3,18.0,1,33,V2,V5,V1,yes,3243,3243,,2,V5,V2,3819,V2,0.0,V2,4,T,F,V1,,1.0,V3,18,70362,V1,1.0,V2,V2
224,0.0,V3,V4,36.0,2,38,V7,V2,V1,yes,3249,3249,,1,V2,V3,3373,V1,0.0,V1,4,T,F,V1,,1.0,V4,36,27761,V1,2.0,V3,V2
225,0.0,V3,V2,18.0,3,35,V3,V1,V1,yes,1940,1940,,1,V1,V3,5067,V1,0.0,V1,4,T,F,V1,,1.0,V4,18,171986,V2,1.0,V3,V2
226,1.0,V4,V5,23.0,4,28,V7,V2,V5,yes,915,915,,1,V2,V2,3583,V1,0.0,V1,2,T,F,V1,,1.0,V3,23,51551,V1,1.0,V2,V1
227,1.0,V4,V5,9.0,2,34,V6,V4,V1,yes,1501,1501,,2,V4,V2,6341,V2,0.0,V2,3,T,F,V3,,1.0,V4,9,38184,V1,1.0,V2,V2
228,0.0,V2,V4,6.0,1,38,V8,V4,V5,yes,932,932,,2,V4,V2,4674,V2,0.0,V2,3,T,F,V3,,1.0,V2,6,21168,V1,1.0,V2,V1
229,0.0,V4,V2,12.0,2,26,V1,V2,V5,yes,2445,2445,,1,V2,V4,5433,V4,0.0,V4,4,T,F,V3,,1.0,V3,12,35071,V1,1.0,V1,V2
230,0.0,V1,V5,21.0,4,64,V7,V4,V1,yes,570,570,,2,V4,V3,4445,V1,0.0,V1,4,T,F,V3,,1.0,V3,21,21354,V1,1.0,V2,V1
231,1.0,V2,V2,23.0,4,26,V7,V2,V1,yes,3122,3122,,1,V2,V2,5411,V1,0.0,V1,1,T,F,V3,V2,1.0,V3,23,12545,V1,1.0,V2,V1
232,1.0,V2,V5,20.0,2,39,V9,V2,V1,yes,1188,1188,,1,V2,V2,3214,V2,0.0,V2,4,T,F,V3,,1.0,V3,20,59413,V1,2.0,V2,V1
233,1.0,V4,V3,14.0,4,23,V4,V2,V5,yes,1274,1274,,1,V2,V2,3946,V1,0.0,V1,2,T,F,V3,,1.0,V3,14,44701,V1,1.0,V1,V1
234,0.0,V3,V1,42.0,1,54,V1,V1,V1,yes,9282,9282,,1,V1,V3,3244,V2,0.0,V2,2,T,F,V1,,1.0,V4,42,83673,V1,1.0,V3,V2
235,0.0,V4,V2,11.0,1,20,V1,V2,V5,yes,4674,4674,,1,V2,V2,5218,V4,0.0,V4,4,T,F,V3,,1.0,V3,11,36028,V1,1.0,V1,V1
236,0.0,V2,V2,11.0,2,21,V2,V4,V1,yes,1257,1257,,2,V4,V2,4161,V4,0.0,V4,4,T,F,V3,,1.0,V2,11,17589,V1,1.0,V1,V1
237,1.0,V3,V3,39.0,4,26,V6,V4,V1,yes,5998,5998,,1,V4,V3,4512,V1,0.0,V1,3,T,F,V1,,1.0,V3,39,96309,V1,1.0,V2,V2
238,0.0,V2,V4,11.0,3,55,V1,V2,V4,no,1413,1413,,1,V2,V3,5639,V4,0.0,V4,2,T,F,V3,,1.0,V3,11,69423,V1,1.0,V2,V1
239,0.0,V1,V5,21.0,4,50,V2,V2,V1,yes,2240,2240,,2,V2,V3,3721,V4,0.0,V4,2,T,F,V3,,1.0,V3,21,27990,V1,1.0,V2,V1
240,0.0,V2,V5,30.0,4,46,V3,V4,V1,yes,3017,3017,,1,V4,V3,6883,V3,0.0,V3,4,T,F,V3,,1.0,V3,30,21357,V1,1.0,V2,V1
241,0.0,V1,V4,7.0,1,38,V7,V4,V1,no,3397,3397,,2,V4,V3,6293,V1,0.0,V1,4,T,F,V3,,1.0,V2,7,15602,V1,1.0,V2,V1
242,0.0,V4,V1,17.0,4,64,V3,V4,V1,yes,1098,1098,,2,V4,V2,5394,V4,0.0,V4,4,T,F,V3,,1.0,V1,17,12558,V1,1.0,V2,V1
243,1.0,V1,V4,11.0,4,27,V5,V5,V1,yes,1108,1108,,2,V5,V3,6550,V1,0.0,V1,3,T,F,V3,,1.0,V3,11,54508,V1,1.0,V2,V1
244,0.0,V4,V3,24.0,3,32,V6,V4,V5,yes,1926,1926,,2,V4,V2,3666,V4,0.0,V4,2,T,F,V3,,1.0,V3,24,12518,V1,1.0,V2,V2
245,0.0,V1,V1,20.0,1,59,V1,V2,V5,yes,6467,6467,,1,V2,V1,5653,V2,0.0,V2,4,T,F,V3,,1.0,V4,20,9946,V1,1.0,V2,V2
246,1.0,V2,V5,29.0,4,30,V2,V2,V5,yes,6349,6349,,1,V2,V3,5107,V1,0.0,V1,4,T,F,V3,,1.0,V3,29,27379,V1,1.0,V2,V1
247,1.0,V2,V2,20.0,2,26,V6,V3,V1,yes,3413,3413,,2,V3,V3,6160,V1,0.0,V1,1,T,F,V3,,1.0,V3,20,1840,V1,1.0,V2,V1
248,1.0,V3,V4,9.0,2,29,V7,V1,V2,yes,1437,1437,,1,V1,V3,5209,V2,0.0,V2,3,T,F,V3,,1.0,V3,9,71371,V1,1.0,V2,V1
249,0.0,V4,V4,30.0,3,37,V3,V4,V1,yes,5954,5954,,1,V4,V3,3645,V4,0.0,V4,2,T,F,V3,,1.0,V3,30,34514,V2,1.0,V2,V1
250,1.0,V2,V1,6.0,1,23,V7,V2,V5,yes,14554,14554,,1,V2,V3,5043,V2,0.0,V2,2,T,F,V3,,1.0,V1,6,28995,V1,1.0,V2,V2
251,0.0,V3,V5,5.0,2,41,V3,V2,V2,yes,1346,1346,1.0,1,V2,V3,4887,V4,0.0,V4,4,T,F,V1,,1.0,V3,5,56652,V1,2.0,V3,V2
252,0.0,V1,V5,11.0,4,65,V3,V4,V5,yes,930,930,,4,V4,V3,4039,V4,0.0,V4,4,T,F,V3,,1.0,V3,11,8274,V1,1.0,V2,V1
253,0.0,V3,V2,35.0,3,28,V4,V1,V5,yes,3990,3990,,1,V1,V2,6416,V2,0.0,V2,2,T,F,V1,,1.0,V1,35,47123,V1,1.0,V2,V1
254,0.0,V3,V1,23.0,4,29,V1,V2,V1,yes,6578,6578,,1,V2,V3,3101,V1,0.0,V1,2,T,F,V3,,1.0,V4,23,44673,V1,1.0,V3,V2
255,1.0,V3,V5,9.0,4,32,V6,V4,V4,yes,1135,1135,,2,V4,V3,4612,V2,0.0,V2,3,T,F,V3,,1.0,V3,9,83432,V1,2.0,V3,V1
256,1.0,V1,V2,23.0,4,47,V3,V3,V1,yes,1023,1023,,1,V3,V4,6386,V1,0.0,V1,4,T,F,V2,,1.0,V3,23,48166,V1,1.0,V2,V1
257,1.0,V1,V3,11.0,3,29,V7,V4,V1,yes,3498,3498,,2,V4,V2,5569,V1,0.0,V1,2,T,F,V3,,1.0,V3,11,6336,V2,1.0,V2,V1
258,0.0,V1,V2,8.0,4,34,V7,V2,V5,yes,1548,1548,,1,V2,V3,4655,V2,0.0,V2,2,T,F,V3,,1.0,V1,8,75572,V1,1.0,V2,V1
259,0.0,V4,V5,20.0,1,36,V1,V4,V1,yes,3275,3275,,1,V4,V3,5241,V4,0.0,V4,4,T,F,V3,,1.0,V4,20,83595,V1,1.0,V2,V2
260,0.0,V4,V2,12.0,4,22,V2,V2,V1,yes,1857,1857,,1,V2,V2,5837,V1,0.0,V1,1,T,F,V3,,1.0,V3,12,13189,V1,1.0,V1,V1
261,0.0,V3,V5,23.0,4,60,V7,V3,V1,yes,2032,2032,,2,V3,V3,5027,V4,0.0,V4,4,T,F,V3,,1.0,V3,23,71631,V1,1.0,V3,V2
262,1.0,V1,V2,15.0,2,25,V7,V5,V1,yes,1778,1778,,2,V5,V2,5134,V2,0.0,V2,1,T,F,V3,,1.0,V1,15,8534,V1,1.0,V1,V1
263,0.0,V4,V1,35.0,2,42,V10,V2,V1,yes,15856,15856,,1,V2,V1,4176,V1,0.0,V1,3,T,F,V3,,1.0,V4,35,82164,V2,1.0,V2,V1
264,0.0,V3,V5,24.0,2,29,V1,V4,V4,yes,7757,7757,,1,V4,V2,4722,V2,0.0,V2,4,T,F,V3,,1.0,V3,24,31566,V1,1.0,V1,V1
265,0.0,V2,V5,36.0,3,36,V9,V2,V5,yes,7409,7409,,2,V2,V3,3808,V4,0.0,V4,2,T,F,V3,,1.0,V3,36,10866,V1,1.0,V2,V1
266,0.0,V1,V4,11.0,2,61,V3,V2,V4,yes,3058,3058,,1,V2,V1,4046,V4,0.0,V4,4,T,F,V3,,1.0,V2,11,3304,V1,1.0,V2,V1
267,0.0,V4,V2,24.0,4,25,V3,V2,V5,yes,3104,3104,,2,V2,V3,4528,V4,0.0,V4,2,T,F,V3,,1.0,V3,24,43469,V1,1.0,V2,V1
268,0.0,V4,V3,17.0,2,25,V3,V4,V1,yes,2237,2237,,2,V4,V2,5335,V4,0.0,V4,1,T,F,V3,,1.0,V3,17,32822,V1,1.0,V2,V1
269,0.0,V1,V3,12.0,4,22,V7,V2,V4,yes,1006,1006,,1,V2,V4,6375,V2,0.0,V2,1,T,F,V3,,1.0,V3,12,36325,V1,1.0,V2,V1
270,0.0,V1,V3,11.0,4,19,V3,V3,V1,yes,585,585,,2,V3,V4,4516,V2,0.0,V2,4,T,F,V3,,1.0,V3,11,58408,V2,1.0,V1,V1
271,0.0,V2,V3,17.0,3,23,V9,V2,V2,yes,1568,1568,,1,V2,V2,5486,V4,0.0,V4,4,T,F,V3,,1.0,V2,17,46539,V1,1.0,V1,V1
272,0.0,V4,V3,9.0,2,26,V2,V4,V5,no,2069,2069,,2,V4,V4,5255,V4,0.0,V4,1,T,F,V3,,1.0,V3,9,51521,V1,1.0,V2,V1
273,0.0,V2,V2,18.0,4,30,V7,V4,V1,yes,1055,1055,,2,V4,V2,7824,V4,0.0,V4,1,T,F,V3,,1.0,V3,18,18905,V1,1.0,V2,V1
274,0.0,V1,V5,6.0,2,30,V3,V4,V1,yes,1739,1739,,2,V4,V4,3142,V4,0.0,V4,2,T,F,V3,,1.0,V3,6,14905,V1,1.0,V1,V1
275,0.0,V4,V3,23.0,3,30,V3,V4,V5,yes,3148,3148,,2,V4,V3,4461,V3,0.0,V3,2,T,F,V3,,1.0,V3,23,95651,V1,1.0,V2,V2
276,0.0,V4,V3,10.0,2,36,V4,V2,V1,yes,1225,1225,,1,V2,V3,5100,V3,0.0,V3,2,T,F,V3,,1.0,V3,10,21396,V1,1.0,V2,V2
277,0.0,V1,V4,14.0,4,34,V3,V4,V5,yes,2727,2727,,3,V4,V3,5091,V2,0.0,V2,2,T,F,V1,,1.0,V3,14,39532,V3,1.0,V2,V2
278,1.0,V4,V3,36.0,4,26,V3,V2,V1,yes,4210,4210,,1,V2,V3,5796,V3,0.0,V3,2,T,F,V3,,1.0,V3,36,75891,V1,1.0,V2,V1
279,0.0,V1,V3,24.0,4,21,V2,V1,V3,yes,2827,2827,,1,V1,V3,3916,V1,0.0,V1,4,T,F,V2,,1.0,V3,24,21628,V1,1.0,V2,V2
280,0.0,V4,V3,30.0,2,27,V9,V5,V1,yes,4220,4220,,2,V5,V2,4951,V2,0.0,V2,1,T,F,V3,,1.0,V3,30,9573,V1,1.0,V2,V1
281,0.0,V1,V4,11.0,3,39,V9,V2,V2,yes,1036,1036,,1,V2,V3,5352,V2,0.0,V2,4,T,F,V3,,1.0,V2,11,50821,V1,1.0,V2,V1
282,0.0,V4,V3,19.0,2,29,V10,V3,V1,yes,2629,2629,,2,V3,V3,5054,V2,0.0,V2,3,T,F,V1,,1.0,V3,19,48558,V1,1.0,V2,V2
283,0.0,V1,V4,5.0,2,28,V3,V2,V1,yes,2107,2107,,1,V2,V4,5007,V4,0.0,V4,2,T,F,V3,,1.0,V3,5,14533,V1,1.0,V1,V1
284,1.0,V1,V3,17.0,4,30,V6,V4,V2,yes,1864,1864,,2,V4,V2,4228,V4,0.0,V4,2,T,F,V3,,1.0,V3,17,20875,V1,1.0,V2,V1
285,0.0,V4,V1,8.0,2,30,V2,V4,V1,yes,2406,2406,,1,V4,V3,4161,V4,0.0,V4,3,T,F,V3,,1.0,V4,8,28208,V1,1.0,V2,V1
286,0.0,V1,V5,20.0,4,35,V9,V2,V4,yes,1572,1572,,1,V2,V2,6828,V4,0.0,V4,4,T,F,V1,,1.0,V2,20,4805,V1,1.0,V2,V1
287,1.0,V2,V2,24.0,1,22,V3,V2,V1,yes,2038,2038,,1,V2,V4,3560,V2,0.0,V2,1,T,F,V3,,1.0,V3,24,17859,V1,1.0,V2,V2
288,0.0,V4,V3,47.0,2,47,V9,V5,V5,yes,12204,12204,,1,V5,V3,5686,V2,0.0,V2,2,T,F,V1,,1.0,V4,47,47538,V1,1.0,V2,V2
289,0.0,V2,V4,24.0,2,25,V2,V2,V1,yes,3971,3971,,1,V2,V2,4769,V4,0.0,V4,4,T,F,V3,,1.0,V3,24,113782,V1,1.0,V1,V2
290,0.0,V4,V3,14.0,2,20,V2,V2,V3,yes,2220,2220,,1,V2,V2,4257,V4,0.0,V4,4,T,F,V3,,1.0,V3,14,18259,V1,1.0,V1,V1
291,0.0,V4,V3,32.0,2,25,V9,V3,V1,yes,2764,2764,,2,V3,V2,4166,V4,0.0,V4,2,T,F,V3,,1.0,V3,32,31187,V1,1.0,V2,V2
